,open,high,low,close,volume
2021-12-06,428.78064745203505,433.1612393139571,426.36473665327475,431.2811584472656,98977500
2021-12-07,436.56431748423483,440.76630068158596,431.1496737164357,440.2022705078125,95484700
2021-12-08,440.5970473857132,441.81908870916527,438.83914733929845,441.36785888671875,72238800
2021-12-09,440.07997042228766,441.4712407407317,438.19050845590453,438.3879089355469,61272600
2021-12-10,441.0951763940727,442.66502782958105,438.5382653053805,442.5146179199219,77159800
2021-12-13,441.9976995198621,442.3455099577305,438.3127276826282,438.5947570800781,87724700
2021-12-14,435.323378332146,437.8144800719802,432.65366659136504,435.5771789550781,97264100
2021-12-15,435.6335428118317,442.6274171238725,433.11421269074907,442.3830261230469,116899300
2021-12-16,444.23494635106454,444.5169470262026,436.93081329963405,438.4819030761719,116568600
2021-12-17,435.3999337829501,438.4092001430193,432.10767604892624,433.81512451171875,135511600
2021-12-20,428.73056845563246,429.5984279577143,425.5798060591172,429.2022399902344,107134800
2021-12-21,432.62660471506297,436.96598912839397,430.45692690267214,436.8244934082031,69806300
2021-12-22,436.56982361505607,441.3053962890187,436.37170080802724,441.19219970703125,58890200
2021-12-23,442.19206541682075,445.4371678906433,442.08831149730497,443.937255859375,56439700
2021-12-27,445.314514331637,450.26706530467493,445.2673586949308,450.21990966796875,56808600
2021-12-28,450.653837085784,451.68207754216996,449.087884188701,449.85198974609375,47274600
2021-12-29,449.9558491527363,451.4463187392995,448.95590766548065,450.4275207519531,54503000
2021-12-30,450.8519272576119,451.8613112086021,448.71999158678375,449.1822204589844,55329000
2021-12-31,448.69175768390534,449.8426087104167,447.7767136605498,448.0502624511719,65237400
2022-01-03,449.3142615710116,450.7764605012531,447.0030884828913,450.6443786621094,72668200
2022-01-04,452.0688648240115,452.7858147658463,448.63508224842974,450.49346923828125,71178700
2022-01-05,450.12559940549204,450.89914766079016,441.74870802750024,441.8430480957031,104538900
2022-01-06,441.380853389721,444.1448419921144,439.0602084439973,441.4280090332031,86858900
2022-01-07,441.43740286255314,442.6165817047028,438.32435344615055,439.6827697753906,85111600
2022-01-10,436.48488919074714,439.3526316532516,430.7304901894249,439.13568115234375,119362000
2022-01-11,438.8715061877595,443.2297465587139,435.87165335018614,443.1354064941406,74303100
2022-01-12,444.87117806328797,446.38997545502053,442.3713245554861,444.3334655761719,67605400
2022-01-13,445.4371624273771,446.08807144277097,437.18291064083445,438.2111511230469,91173100
2022-01-14,435.06044163485194,438.73947426347723,433.8435208770397,438.39044189453125,95890900
2022-01-18,433.6925435130348,433.9000801446297,429.51354052849086,430.6266784667969,109709100
2022-01-19,432.1738074172843,433.5699368723863,425.88169585972383,426.1552734375,109357600
2022-01-20,428.04190842212745,432.74918102362534,419.31598522013365,421.4385070800781,122379700
2022-01-21,420.3159330270776,422.6742906855869,413.1371061330772,413.1654052734375,202271200
2022-01-24,407.5525363125253,415.4294573025682,396.9210694706066,414.9200439453125,251783900
2022-01-25,408.52419175491247,414.80686073493035,402.9490301538802,409.85430908203125,167997300
2022-01-26,415.7501538816743,418.8820597450549,404.5620902381432,408.8260192871094,186391100
2022-01-27,413.42953766606337,416.570857381139,405.1186876310889,406.8072509765625,149878300
2022-01-28,408.1657129140467,416.95767810367454,403.5810789597359,416.9105224609375,164457400
2022-01-31,416.2407572007058,424.7685880526655,414.89178329232885,424.4195556640625,152251400
2022-02-01,425.14591546405666,427.92878947837016,421.617821033728,427.2873229980469,123155400
2022-02-02,429.69282811901024,432.16438269982757,427.38162576079867,431.4380187988281,117361000
2022-02-03,425.40057576602374,427.30611843415994,420.45743842360054,421.2970275878906,118024400
2022-02-04,421.06118368926354,427.1268727004783,418.68394073588917,423.2780456542969,118454400
2022-02-07,424.04216920738406,425.43829858096694,420.58952998140325,421.9196472167969,84472900
2022-02-08,421.4197378367775,426.31569157716,419.99528032572806,425.3912048339844,81012000
2022-02-09,429.4286854386847,431.9379817631401,429.2305914308077,431.61724853515625,92589900
2022-02-10,425.7684883309894,431.7775795121979,421.86306271080866,423.8629455566406,140103700
2022-02-11,423.94781485036305,426.0231523425291,414.0710117021737,415.5048828125,153214600
2022-02-14,414.99548562999905,416.5802950386649,410.67495835599806,414.1464538574219,123006300
2022-02-15,418.5896294380124,420.9951427431811,418.0707734780917,420.8253479003906,88482700
2022-02-16,418.77828888356663,422.67430043142383,416.9010453564432,421.2970275878906,84863600
2022-02-17,418.10857447395847,421.2687799533193,411.6938522260274,412.2975769042969,102259100
2022-02-18,412.55223985255054,413.806902341528,407.3544387638589,409.6278991699219,132642900
2022-02-22,407.4205273459961,410.82598263729784,401.7321399493936,405.2319641113281,124391800
2022-02-23,408.1467742848696,408.71278582656134,397.4775675598708,398.0435791015625,132578000
2022-02-24,387.732876144503,404.46780255410187,387.3744299437548,404.0338439941406,213942900
2022-02-25,405.2696289017005,413.0333532377554,403.6187784215898,412.9484558105469,121804500
2022-02-28,407.5525226744369,413.37296233027865,406.29788900505855,411.89190673828125,145615000
2022-03-01,410.3919658423738,412.40129113186845,402.9112336256211,405.61865234375,137785900
2022-03-02,407.8732031348396,414.80677985467884,407.118540259821,413.0804748535156,117726500
2022-03-03,415.5143397383029,416.1180643570966,409.22222854392,411.0240173339844,105501700
2022-03-04,407.2883840604993,408.8165952787163,403.63765086397046,407.6846008300781,113978200
2022-03-07,407.09969537962036,407.80720269087345,395.60034091096946,395.6663818359375,137896600
2022-03-08,395.8456573433794,403.00562856631194,391.60061306814714,392.6665954589844,164772700
2022-03-09,401.052866089248,405.175270488169,398.86430336951577,403.1942443847656,116990800
2022-03-10,398.5813407511495,402.26981595352635,396.6191996494863,401.3736572265625,93972700
2022-03-11,403.8639798109582,404.47714697175655,395.76066731177804,396.27008056640625,95636300
2022-03-14,397.0437338622443,400.4963446455009,392.23267777731564,393.3741149902344,95729200
2022-03-15,395.9871173439881,402.65655987964084,394.7136272071247,402.0245361328125,106219100
2022-03-16,405.5337196502568,410.99565467110665,400.7320786409721,410.9390563964844,144954800
2022-03-17,409.02413595065417,416.0803527832031,408.6468044640496,416.0803527832031,102676900
2022-03-18,414.4678791360529,420.9593028336933,413.7297868077792,420.6375732421875,106345500
2022-03-21,420.46728690424806,422.47338269242965,417.00392141262006,420.5146179199219,88349800
2022-03-22,421.9056299675631,426.37204353660803,421.9056299675631,425.43524169921875,74650400
2022-03-23,422.8991638853642,424.39426355842147,419.87107662912183,419.95623779296875,79426100
2022-03-24,421.981331093405,426.29633721311484,420.86473496549416,426.286865234375,64736900
2022-03-25,426.92088512262796,428.64311034533864,424.3375472885619,428.3686828613281,77101300
2022-03-28,427.77242934517386,431.41558837890625,425.87988219808983,431.41558837890625,68529800
2022-03-29,435.30485728967426,437.24473588066155,432.61744319877937,436.7526550292969,86581500
2022-03-30,435.60766008577025,436.42147053755207,431.94558524771077,434.0557861328125,79666900
2022-03-31,433.2893025074121,434.11255605182595,426.9208697553412,427.3750915527344,121699900
2022-04-01,428.9553354432427,429.0972707248986,425.0093902232998,428.5863037109375,89048800
2022-04-04,428.78503448200854,432.3619481479705,427.96178092937987,432.2578430175781,59601000
2022-04-05,430.7627717165602,433.23253253806155,425.6528988378104,426.7978820800781,74214500
2022-04-06,422.8802358321869,424.8106132427769,419.6439673154081,422.53009033203125,106898000
2022-04-07,421.65012756907544,426.47612959296237,419.7008059045146,424.6592712402344,78097200
2022-04-08,423.90227693918933,426.4193687220367,421.981342273067,423.5237731933594,79272700
2022-04-11,420.24961995400275,421.0918174503352,415.7832355906516,416.2847595214844,89770500
2022-04-12,419.2749706687826,421.8015343492119,413.1904372386116,414.7423400878906,84363600
2022-04-13,414.49623018176845,420.24956105130474,414.3164358847849,419.4925537109375,74070400
2022-04-14,419.71968183285964,420.8363067294956,414.16505991706254,414.2691650390625,97869500
2022-04-18,413.341833148195,416.1238802748247,412.2062931005156,414.43951416015625,66002500
2022-04-19,414.33540185587515,421.8488175877449,414.1650795150678,421.1296691894531,77821000
2022-04-20,422.9086685500845,423.5237406996165,419.65348460531936,420.8173828125,65224400
2022-04-21,424.44161705872466,425.8326405645599,413.61624352930863,414.524658203125,85417300
2022-04-22,413.43647336370464,414.54359749502777,402.5827121441921,403.1504821777344,132471800
2022-04-25,400.9077407495504,405.65802372987287,396.33722318186966,405.4877014160156,119647700
2022-04-26,402.9517005626742,403.15043882373135,393.7160892636341,393.7444763183594,103996300
2022-04-27,394.8231754479945,400.19803127751527,392.7130038669715,394.8515625,122030000
2022-04-28,399.6018973665393,406.5570142890086,395.1638717530579,404.8253173828125,105449100
2022-04-29,400.83211704855785,402.9896201658994,389.1172427381389,389.86480712890625,145491100
2022-05-02,389.93102468617633,393.5741843394114,383.2597775315031,392.2115478515625,158312500
2022-05-03,392.712978807661,396.42235479690993,391.15160441305835,394.0093688964844,100028200
2022-05-04,394.67180974349054,406.5759486887727,391.48287209472454,406.0081787109375,144247900
2022-05-05,401.7404848718178,402.16631958492377,387.44230322988835,391.5775146484375,172929100
